Titre,Réalisateur,Scénariste,Compositeur,Directeur photo,Directeur montage,Acteur 1,Acteur 2,Acteur 3,Genre,Popularité genre,Popularité thème,Rareté émotion,Référence,Budget (M$),Box Office (M$),Rentabilité (%),Succès
Nocturnal Animals,Tom Ford,Tom Ford,Abel Korzeniowski,Seamus McGarvey,Joan Sobel,Amy Adams ,Jake Gyllenhaal ,Michael Shannon,Drame,2,2,3,1,22.5,32.4,44,1
Southpaw,Antoine Fuqua,Kurt Sutter,James Horner,Mauro Fiore,John Refoua,Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Drame,2,2,2,1,30,92,206.6666667,2
The Visit,M. Night Shyamalan,M. Night Shyamalan,Paul Cantelon,Maryse Alberti,Luke Franco Ciarrocchi,Olivia DeJonge,Ed Oxenbould,Peter McRobbie,Horreur,0,2,2,1,5,98.5,1870,2
Hereditary,Ari Aster,Ari Aster,Colin Stetson,Pawel Pogorzelski,Jennifer Lame,Toni Collette,Gabriel Byrne,Alex Wolff ,Horreur,0,2,2,0,10,79.3,693,2
It follows,David Robert Mitchell,David Robert Mitchell,Disasterpeace,Mike Gioulakis,Julio Perez IV,Maika Monroe,Keir Gilchrist,Jake Weary,Horreur,0,1,2,0,2,23.3,1065,2
10 Cloverfield Lane,Dan Trachtenberg,Damien Chazelle,Bear McCreary,Jeff Cutter,Stefan Grube,Mary Elizabeth Winstead,John Goodman,John Gallagher Jr,SF,3,1,2,1,15,110.2,634.6666667,2
Life,Daniel Espinosa,Rhett Reese,Jon Ekstrand,Seamus McGarvey,Paul Tothill,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Horreur,0,2,2,0,58,100.5,73.27586207,2
The Circle,James Ponsoldt,James Ponsoldt,Danny Elfman,Matthew Libatique,Lisa Lassek,Emma Watson,Tom Hanks,John Boyega,Thriller,3,1,1,1,18,40.7,126.1111111,2
A cure for Life,Gore Verbinski,Justin Haythe,Benjamin Wallfisch,Bojan Bazelli,Pete Beaudreau,Dane DeHaan,Jason Isaacs,Mia Goth,Horreur,0,1,1,1,40,26.5,-33.75,0
Juste la fin du monde,Xavier Dolan,Xavier Dolan,Gabriel Yared,André Turpin,Xavier Dolan,Nathalie Baye,Vincent Cassel,Gaspard Ulliel,Drame,1,1,1,0,6.9,9,30.43478261,1
Ma vie avec John F. Donovan,Xavier Dolan,Xavier Dolan,Gabriel Yared,André Turpin,Xavier Dolan,Kit Harington,Jacob Tremblay,Natalie Portman,Drame,1,1,1,0,30,3.2,-89.33333333,0
Colossal,Nacho Vigalondo,Nacho Vigalondo,Bear McCreary,Eric Kress,Ben Baudhuin,Anne Hathaway,Jason Sudeikis,Dan Stevens,SF,3,0,0,0,4.5,15,233.3333333,2
Tomb Raider,Roar Uthaug,Geneva Robertson-Dworet,Junkie XL,George Richmond,Stuart Baird,Alicia Vikander,Dominic West,Walton Goggins,Aventure,3,2,1,1,94,274.7,192.2340426,2
Room,Lenny Abrahamson,Emma Donoghue,Stephen Rennicks,Danny Cohen,Nathan Nugent,Brie Larson,Jacob Tremblay,Joan Allen,Drame,1,1,2,2,6,36.3,505,2
